name,time,air_Pressure_mH2O,air_Temp_float,batt,channel_rssi,data_rate_index,dev_id,device_id,dist,forwarder_gateway_id,recieved_time,rssi,snr,spreading_factor,timestamp,wat_Pressure_mH2o,wat_Temp_float,wat_level_mH2o
puhatu-v3,1.62647E+18,10.26237774,25.42165947,4.169,-31,2,fipy-d1v3,,59.8,eui-b827ebfffe8857bc,,-31,7.8,10,,,,
puhatu-v3,1.62647E+18,10.2643671,25.04283524,4.171,-30,2,fipy-d1v3,,59.6,eui-b827ebfffe8857bc,,-30,13.2,10,,,,
puhatu-v3,1.62647E+18,10.26778221,25.00008965,4.173,-30,2,fipy-d1v3,,59.5,eui-b827ebfffe8857bc,,-30,9.8,10,,,,
puhatu-v3,1.62647E+18,10.26765442,24.86908531,4.172,-30,2,fipy-d1v3,,59.3,eui-b827ebfffe8857bc,,-30,12.5,10,,,,
puhatu-v3,1.62647E+18,10.26711273,24.60741043,4.17,-31,2,fipy-d1v3,,59.6,eui-b827ebfffe8857bc,,-31,8.8,10,,,,
puhatu-v3,1.62647E+18,10.267416,24.42421722,4.173,-30,2,fipy-d1v3,,59.4,eui-b827ebfffe8857bc,,-30,13.5,10,,,,
puhatu-v3,1.62648E+18,10.26740265,24.19729233,4.17,-33,2,fipy-d1v3,,59.4,eui-b827ebfffe8857bc,,-33,7,10,,,,
puhatu-v3,1.62648E+18,10.26459122,24.12545204,4.173,-33,2,fipy-d1v3,,59.3,eui-b827ebfffe8857bc,,-33,12.5,10,,,,
puhatu-v3,1.62648E+18,10.26347637,23.95822525,4.172,-29,2,fipy-d1v3,,59.5,eui-b827ebfffe8857bc,,-29,12.2,10,,,,
puhatu-v3,1.62648E+18,10.26351357,23.87118912,4.173,-31,2,fipy-d1v3,,59.7,eui-b827ebfffe8857bc,,-31,12.8,10,,,,
puhatu-v3,1.62648E+18,10.26436901,23.63512611,4.169,-31,2,fipy-d1v3,,59.6,eui-b827ebfffe8857bc,,-31,8,10,,,,
puhatu-v3,1.62649E+18,10.26634979,23.53624344,4.171,-33,2,fipy-d1v3,,59.6,eui-b827ebfffe8857bc,,-33,7,10,,,,
puhatu-v3,1.62649E+18,10.26767254,23.41584778,4.172,-31,2,fipy-d1v3,,59.7,eui-b827ebfffe8857bc,,-31,12.5,10,,,,
puhatu-v3,1.62649E+18,10.26869774,23.28015327,4.17,-30,2,fipy-d1v3,,59.6,eui-b827ebfffe8857bc,,-30,9.5,10,,,,
puhatu-v3,1.62649E+18,10.26674461,23.20351791,4.172,-33,2,fipy-d1v3,,59.6,eui-b827ebfffe8857bc,,-33,10.5,10,,,,
puhatu-v3,1.62649E+18,10.26870918,23.18345451,4.172,-31,2,fipy-d1v3,,59.4,eui-b827ebfffe8857bc,,-31,12.5,10,,,,
puhatu-v3,1.62649E+18,10.26882458,23.14378166,4.171,-31,2,fipy-d1v3,,59.5,eui-b827ebfffe8857bc,,-31,8.8,10,,,,
puhatu-v3,1.6265E+18,10.26818848,23.37214661,4.172,-31,2,fipy-d1v3,,59.4,eui-b827ebfffe8857bc,,-31,11.2,10,,,,
